# KRName IVSes
8C48 FE00; Standardized_Variants;CID+38630
8CC2 FE00; Standardized_Variants;CID+38827
8CC8 FE00; Standardized_Variants;CID+38839
8DEF FE00; Standardized_Variants;CID+39282
8ECA FE00; Standardized_Variants;CID+39684
8F26 FE00; Standardized_Variants;CID+39820
8F2A FE00; Standardized_Variants;CID+39827
8F3B FE00; Standardized_Variants;CID+39861
8F62 FE00; Standardized_Variants;CID+39937
8FB0 FE00; Standardized_Variants;CID+40038
9023 FE00; Standardized_Variants;CID+58799
907C FE00; Standardized_Variants;CID+58801
908F FE00; Standardized_Variants;CID+40645
90CE FE00; Standardized_Variants;CID+40738
90DE FE00; Standardized_Variants;CID+40762
916A FE00; Standardized_Variants;CID+41031
91B4 FE00; Standardized_Variants;CID+41207
91CC FE00; Standardized_Variants;CID+41263
91CF FE00; Standardized_Variants;CID+41266
91D1 FE00; Standardized_Variants;CID+41269
9234 FE00; Standardized_Variants;CID+41413
9304 FE00; Standardized_Variants;CID+41733
934A FE00; Standardized_Variants;CID+41848
95AD FE00; Standardized_Variants;CID+42762
962E FE00; Standardized_Variants;CID+42941
964B FE00; Standardized_Variants;CID+42978
964D FE00; Standardized_Variants;CID+62889
9675 FE00; Standardized_Variants;CID+43045
9678 FE00; Standardized_Variants;CID+43053
9686 FE00; Standardized_Variants;CID+43079
96A3 FE00; Standardized_Variants;CID+62895
96B7 FE00; Standardized_Variants;CID+43172
96B8 FE00; Standardized_Variants;CID+43173
96E2 FE00; Standardized_Variants;CID+43263
96F6 FE00; Standardized_Variants;CID+43303
96F7 FE00; Standardized_Variants;CID+43306
9732 FE00; Standardized_Variants;CID+43454
9748 FE00; Standardized_Variants;CID+43510
9818 FE00; Standardized_Variants;CID+43887
985E FE00; Standardized_Variants;CID+58802
99F1 FE00; Standardized_Variants;CID+44757
9A6A FE00; Standardized_Variants;CID+44986
9B6F FE00; Standardized_Variants;CID+45520
9C57 FE00; Standardized_Variants;CID+45907
9DFA FE00; Standardized_Variants;CID+46543
9E1E FE00; Standardized_Variants;CID+46611
9E7F FE00; Standardized_Variants;CID+46714
9E97 FE00; Standardized_Variants;CID+62985
9E9F FE00; Standardized_Variants;CID+46813
